epoch,loss,accuracy,val_loss,val_accuracy,lr,model
0,2.3668386936187744,0.3183477520942688,1.8236157894134521,0.4719425439834595,0.01,vgg16_fullset_v2
1,2.211606740951538,0.3540157675743103,1.6987175941467285,0.49991166591644287,0.01,vgg16_fullset_v2
2,2.1714813709259033,0.3658216893672943,1.6590023040771484,0.5103338360786438,0.01,vgg16_fullset_v2
3,2.143132448196411,0.37181299924850464,1.61955726146698,0.5159865617752075,0.01,vgg16_fullset_v2
4,2.1197824478149414,0.3818524479866028,1.6069048643112183,0.5192251205444336,0.01,vgg16_fullset_v2
5,2.102196455001831,0.3841194212436676,1.5684523582458496,0.5296472907066345,0.01,vgg16_fullset_v2
6,2.0728721618652344,0.3935847580432892,1.5493474006652832,0.5334746241569519,0.01,vgg16_fullset_v2
7,2.0662832260131836,0.3946446478366852,1.5392179489135742,0.5350644588470459,0.01,vgg16_fullset_v2
8,2.050053596496582,0.3991491496562958,1.5440895557403564,0.5371842384338379,0.01,vgg16_fullset_v2
9,2.0507631301879883,0.3999735116958618,1.5060186386108398,0.5499028563499451,0.01,vgg16_fullset_v2
10,2.0268149375915527,0.4046840965747833,1.5066487789154053,0.552493691444397,0.01,vgg16_fullset_v2
11,2.019345760345459,0.4057145416736603,1.500819206237793,0.5497850775718689,0.01,vgg16_fullset_v2
12,2.0174756050109863,0.40961548686027527,1.4943828582763672,0.5568509697914124,0.01,vgg16_fullset_v2
13,2.003826379776001,0.4121474325656891,1.5066696405410767,0.548254132270813,0.01,vgg16_fullset_v2
14,1.9990558624267578,0.4111611545085907,1.4795746803283691,0.5574986934661865,0.01,vgg16_fullset_v2
0,1.9934206008911133,0.41556262969970703,1.4927337169647217,0.5509627461433411,0.01,vgg16_fullset_v2
1,1.9818060398101807,0.4199199080467224,1.4623478651046753,0.5632691383361816,0.01,vgg16_fullset_v2
2,1.9813388586044312,0.4154595732688904,1.484472632408142,0.5540246367454529,0.01,vgg16_fullset_v2
3,1.9696824550628662,0.4224371314048767,1.4674921035766602,0.5663310289382935,0.01,vgg16_fullset_v2
4,1.9281115531921387,0.43154919147491455,1.4163565635681152,0.5753400325775146,0.005,vgg16_fullset_v2
5,1.912750244140625,0.43671613931655884,1.4095784425735474,0.5759877562522888,0.005,vgg16_fullset_v2
6,1.902684211730957,0.439410001039505,1.4081889390945435,0.5789318680763245,0.005,vgg16_fullset_v2
7,1.8975228071212769,0.4411175847053528,1.4092011451721191,0.5795207023620605,0.005,vgg16_fullset_v2
8,1.8900630474090576,0.44281044602394104,1.3958114385604858,0.5808749794960022,0.005,vgg16_fullset_v2
9,1.882660150527954,0.4459753930568695,1.4002114534378052,0.581817090511322,0.005,vgg16_fullset_v2
0,1.8804161548614502,0.446225643157959,1.3916507959365845,0.5857622623443604,0.005,vgg16_fullset_v2
1,1.875649094581604,0.4471677541732788,1.387310266494751,0.5895895957946777,0.005,vgg16_fullset_v2
2,1.8712836503982544,0.4488164782524109,1.4110840559005737,0.5808160901069641,0.005,vgg16_fullset_v2
3,1.8670779466629028,0.4476240873336792,1.4077661037445068,0.5820526480674744,0.005,vgg16_fullset_v2
4,1.841506838798523,0.4559265077114105,1.373125672340393,0.5890007615089417,0.0005,vgg16_fullset_v2
